title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"Bridgeport, CT",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,116623,130844,146463,161806,175774
Data Scientist,"Torrance, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114467,128425,143756,158814,172525
Data Scientist,"Mcallen, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,88289,99054,110879,122494,133068
Data Scientist,"Syracuse, NY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101188,113527,127079,140391,152510
Data Scientist,"Surprise, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100524,112781,126245,139469,151509
Data Scientist,"Denton, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100161,112375,125790,138966,150963
Data Scientist,"Roseville, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110679,124175,138998,153559,166815
Data Scientist,"Thornton, CO",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,103821,116481,130386,144044,156479
Data Scientist,"Pasadena, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,116108,130266,145816,161091,174997
Data Scientist,"Mesquite, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101885,114309,127954,141358,153561
Data Scientist,"Olathe, KS",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100150,112362,125775,138951,150946
Data Scientist,"Dayton, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99797,111966,125332,138461,150414
Data Scientist,"Carrollton, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101721,114124,127748,141130,153313
Data Scientist,"Waco, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,93389,104776,117284,129570,140755
